type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
java,java软件工程师[丰台区],博宇通达,2000,4000,经验在校,应届,"IT技术服务｜咨询,人工智能服务,物联网 / 不需要融资 / 50-150人",50-150,软件服务｜咨询/IT技术服务｜咨询/SQL Server/ORACLE,专业技术团队、丰富的技术培训,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/33/E8/Cgp9HWBv9p-ANUCOAAAzU3zKcMM050.png,北京
java,java助理工程师[望京],思瑞软件,3000,6000,经验在校,应届,"移动互联网,企业服务 / 不需要融资 / 少于15人",15,软件服务｜咨询/JavaScript/Spring,一个在线可兼职长期工作机会,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/03/32/Cgp3O1au8QeAAe8JAAAg3pwZMwA339.png,北京
java,java开发实习生[海运仓],everbridge,3000,4000,经验在校,应届,软件服务｜咨询 / 上市公司 / 500-2000人,500-2000,软件服务｜咨询/信息安全,上市外企、弹性工作、下午茶,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/09/CgYXBlTUWBGAFY09AACFiqLa3I8939.jpg,北京
java,Java开发工程师（实习）[白石桥],汇联信通,3000,5000,经验在校,应届,"移动互联网,企业服务 / A轮 / 15-50人",15-50,软件服务｜咨询/JavaScript/工具类产品/IT技术服务｜咨询/ORACLE,富有吸引力的薪酬和实现你的成就感,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/48/CgYXBlTUXOWAUxdtAABx-sgYGQc702.jpg,北京
java,java开发实习生[中关村],铂诺商学,2000,3000,经验在校,应届,"教育,金融 / A轮 / 50-150人",50-150,电商平台,行业大佬亲自带队,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/7A/9E/Cgq2xl55nJSAZxFWAABYCtvmRWs350.png,北京
java,java开发工程师-北京[通州区],小米集团,20000,40000,经验1-3年,本科,"智能硬件,电商平台 / 上市公司 / 2000人以上",2000,分布式系统开发经验/MySQL/后端工程师/电商平台/Web后端开发,有挑战，待遇好,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/2B/70/Cgp9HWBj6bSAWyErAAEH_0bNiFc008.png,北京
java,java开发工程师[金融街],华泰保险,15000,25000,经验1-3年,本科,科技金融 / 不需要融资 / 2000人以上,2000,科技金融,行业前景好，工作氛围和谐,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/68/1B/CioPOWG8YxqAQ8EzAABJIm4YLIo954.png,北京
java,高级java开发工程师[望京],百融云创,25000,40000,经验3-5年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,账务系统/科技金融/后端工程师,发展前景好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,高级java开发工程师[酒仙桥],自如网,25000,35000,经验5-10年,本科,居住服务 / C轮 / 2000人以上,2000,全栈工程师/居住服务/后端工程师,租房福利,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/73/19/CioPOWIUXYyAHMKHAAA-ljuLV0U557.png,北京
java,高级java开发工程师[海淀区],贝壳,25000,35000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,居住服务,上市公司；薪资福利好；核心业务,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,java高级开发工程师[西城区],圆融汇通,20000,30000,经验5-10年,本科,"软件服务｜咨询,数据服务｜咨询,信息安全 / 未融资 / 15-50人",15-50,软件服务｜咨询/IT技术服务｜咨询,福利待遇好，升职加薪空间大,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/53/35/CioPOWEUj8WAOCG1AAAdiifHbd0514.png,北京
java,java开发工程师[海淀区],汽车之家,20000,30000,经验5-10年,本科,内容资讯 / 上市公司 / 2000人以上,2000,MyBatis/Spring,福利好，发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/01/80/CgqKkVZuPraAN3O6AACFeBgN7dY620.jpg,北京
java,java开发工程师[科技园区],京北方,12000,20000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,flink/银行/科技金融/MyBatis/金融业,五险一金 带薪年假 完善的员工培训机制,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,高级java开发工程师[三里河],中招互连科技公司,20000,33000,经验5-10年,本科,"区块链,软件开发 / A轮 / 50-150人",50-150,软件服务｜咨询/区块链,公司国企背景，未来准备上市，大牛带队,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/3B/49/CgqCHl8ju_CANEuRAABCdORhXkU092.png,北京
java,高级java开发工程师[海淀区],京北方,20000,22000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,科技金融/金融业/Spring,五险一金、双休，,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,高级java开发工程师[公主坟],融汇,20000,40000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/人工智能服务/JavaScript/Hadoop/后端工程师,人工智能、大模型、一流的团队、创新项目,https://www.lgstatic.com/thumbnail_120x120/image1/M00/43/65/CgYXBlXRZtuADbFZAADQiAyJ_M4164.jpg,北京
java,高级java开发工程师[海淀区],建信金科,20000,40000,经验5-10年,本科,科技金融 / 不需要融资 / 2000人以上,2000,MySQL/科技金融/MyBatis,高成长性，发展前景好,https://www.lgstatic.com/thumbnail_120x120/10/2978ef07bfd94706b97f37993250c757.png,北京
java,java开发工程师[西北旺],中电金信,15000,25000,经验5-10年,大专,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上",2000,软件服务｜咨询/Spring,稳定 六险一金 面试通过率高,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/4F/A5/CioPOWD6YxGAD-CWAAAsgCdp12U635.jpg,北京
java,高级java开发工程师[朝阳区],中电金信,16000,17000,经验3-5年,本科,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上",2000,jvm/分布式系统开发经验/中大型项目架构经验/旅游｜出行/后端工程师,周末双休,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/4F/A5/CioPOWD6YxGAD-CWAAAsgCdp12U635.jpg,北京
java,java开发工程师[科技园区],京北方,12000,20000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,flink/银行/科技金融/MyBatis/金融业,五险一金 带薪年假 完善的员工培训机制,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,高级java开发工程师[海淀区],京北方,20000,22000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,科技金融/金融业/Spring,五险一金、双休，,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,java开发工程师[北七家],北京指南针,15000,30000,经验1-3年,本科,科技金融 / 上市公司 / 500-2000人,500-2000,科技金融/Web后端开发,发展空间大，国内外旅游，带薪年假，发展前景好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/6F/38/CgpEMlmyBJyAWbaUAABXgIOTygI713.png,北京
java,java开发工程师[金融街],华泰保险,15000,25000,经验1-3年,本科,科技金融 / 不需要融资 / 2000人以上,2000,科技金融,行业前景好，工作氛围和谐,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/68/1B/CioPOWG8YxqAQ8EzAABJIm4YLIo954.png,北京
java,高级java开发工程师[公主坟],融汇,20000,40000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/人工智能服务/JavaScript/Hadoop/后端工程师,人工智能、大模型、一流的团队、创新项目,https://www.lgstatic.com/thumbnail_120x120/image1/M00/43/65/CgYXBlXRZtuADbFZAADQiAyJ_M4164.jpg,北京
java,高级java开发工程师[海淀区],建信金科,20000,40000,经验5-10年,本科,科技金融 / 不需要融资 / 2000人以上,2000,MySQL/科技金融/MyBatis,高成长性，发展前景好,https://www.lgstatic.com/thumbnail_120x120/10/2978ef07bfd94706b97f37993250c757.png,北京
java,java开发工程师[海淀区],中招互连科技公司,13000,24000,经验3-5年,本科,"区块链,软件开发 / A轮 / 50-150人",50-150,软件服务｜咨询/区块链,公司国企背景，未来准备上市，大牛带队,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/3B/49/CgqCHl8ju_CANEuRAABCdORhXkU092.png,北京
java,Java高级开发工程师[海淀区],搜狐集团,20000,40000,经验5-10年,本科,"内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上",2000,内容资讯/音频｜视频媒体,核心媒体平台产品，带薪年假15天,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/15/40/Cgq2xlpxrIKAPFRwAAAzLesdOpI884.png,北京
java,Java高级开发工程师[朝阳区],美通社,15000,28000,经验5-10年,本科,"新媒体,文化传媒 / 不需要融资 / 150-500人",150-500,新媒体/文化传媒,"定期体检,做五休二,周末双休",https://www.lgstatic.com/thumbnail_120x120/10/21c0383a3004412ea0edeff6fc28bfbc.png,北京
java,java开发工程师[延庆区],北京泰斯听科技有限公...,15000,20000,经验不限,本科,"电商平台,汽车交易平台 / 未融资 / 15-50人",15-50,IT技术服务｜咨询/Spring/数据服务｜咨询/ORACLE,13薪,https://www.lgstatic.com/thumbnail_120x120/10/84c2b727d1f4429ca070b85e178f158a.jpg,北京
java,java开发工程师[三里河],中招互连科技公司,15000,30000,经验1-3年,本科,"区块链,软件开发 / A轮 / 50-150人",50-150,软件服务｜咨询,团队好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/3B/49/CgqCHl8ju_CANEuRAABCdORhXkU092.png,北京
java,高级java开发工程师[东四],奇点浩翰,20000,30000,经验3-5年,本科,"数据服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人",50-150,金融业/IT技术服务｜咨询/Spring,平台稳定,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8D/CD/CgpFT1r7kZaAH3RAAABB80EZqKA809.png,北京
java,java高级开发工程师[西城区],圆融汇通,20000,30000,经验5-10年,本科,"软件服务｜咨询,数据服务｜咨询,信息安全 / 未融资 / 15-50人",15-50,软件服务｜咨询/IT技术服务｜咨询,福利待遇好，升职加薪空间大,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/53/35/CioPOWEUj8WAOCG1AAAdiifHbd0514.png,北京
java,java后端开发工程师[望京],百融云创,30000,40000,经验5-10年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,科技金融/后端工程师/Spring,发展前景,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,Java研发（测试开发方向） (MJ001556)[望京],百融云创,20000,40000,经验3-5年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,人工智能服务/科技金融/计算机/软件工程相关专业,上市公司,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,java[七里庄],京北方,12000,22000,经验3-5年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,银行/ORACLE,五险一金,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,Java研发工程师[西二旗],贝壳,25000,40000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,居住服务/Hadoop/Spark/电商平台,带薪年假 定期体检 弹性工作 扁平管理,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,java架构师-saas[望京],百融云创,25000,35000,经验5-10年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,科技金融,团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,直播java研发工程师[小关],小红书,30000,60000,经验3-5年,本科,"电商平台,内容社区 / D轮及以上 / 500-2000人",500-2000,MySQL/IT技术服务｜咨询/后端工程师/计算机/软件工程相关专业,发展前景好,https://www.lgstatic.com/thumbnail_120x120/image1/M00/35/C1/Cgo8PFWcoTKARPNOAABLnbTivc8708.png,北京
java,高级Java开发工程师 (MJ001516)[望京],百融云创,25000,35000,经验5-10年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,架构开发经验/科技金融/后端工程师,团队氛围好 发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,Java开发工程师-经纪产研方向[西二旗],贝壳,20000,35000,经验1-3年,本科,居住服务 / 上市公司 / 2000人以上,2000,房地产｜建筑｜物业/后端工程师,带薪年假、三餐福利、五险一金、节日福利,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,java后端开发工程师-效能后端[朝阳区],小红书,40000,60000,经验5-10年,本科,"电商平台,内容社区 / D轮及以上 / 500-2000人",500-2000,互联网,福利待遇好,https://www.lgstatic.com/thumbnail_120x120/image1/M00/35/C1/Cgo8PFWcoTKARPNOAABLnbTivc8708.png,北京
java,高级Java工程师[海淀区],搜狐集团,20000,35000,经验不限,本科,"内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上",2000,移动互联网/后端/服务器端,"各种团建,工作氛围好,福利待遇好",https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/15/40/Cgq2xlpxrIKAPFRwAAAzLesdOpI884.png,北京
java,配送技术-java架构师[望京],美团,35000,60000,经验5-10年,本科,消费生活 / 上市公司 / 2000人以上,2000,Java开发经验/生活服务/中大型项目架构/消费生活,发展前景；核心业务,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/84/CgpVE1_ch26AEM8AAAAxNiZmyCE990.png,北京
java,中级java开发工程师[展览路],圆融汇通,15000,20000,经验3-5年,本科,"软件服务｜咨询,数据服务｜咨询,信息安全 / 未融资 / 15-50人",15-50,软件服务｜咨询/JavaScript,职位上升空间大,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/53/35/CioPOWEUj8WAOCG1AAAdiifHbd0514.png,北京
java,Java高级研发工程师[朝外],和信康,20000,30000,经验3-5年,本科,"数据服务｜咨询,人工智能服务,电商平台 / B轮 / 50-150人",50-150,springcloud/人工智能服务/在线医疗/MyBatis/Redis,高薪+\精英汇聚\成长空间大\福利氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/03/8D/Cgp3O1bBPUWANX4vAAA0uF55x3U956.png,北京
java,java开发工程师（酷我业务线）[朝阳门],腾讯音乐娱乐集团,35000,40000,经验3-5年,本科,"工具类产品,内容社区,音频｜视频媒体 / 上市公司 / 2000人以上",2000,音频｜视频媒体/后端工程师,优秀团队，完善福利，氛围Nice,https://www.lgstatic.com/thumbnail_120x120/10/223297cd5fbe446190948b4b5adc7866.jpeg,北京
java,Java开发资深工程师（贷后系统负责人）[北下关],微财数科,45000,65000,经验5-10年,本科,科技金融 / 未融资 / 500-2000人,500-2000,团队管理经验/消费生活/科技金融/机器学习算法/工程化经验/后端工程师,六险一金 核心业务 发展空间大 交通便利,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/40/20/Ciqc1F8yLoiAVaQLAAAoRP6nXsg864.jpg,北京
java,平台技术中心-Java开发工程师[朝阳区],美团,30000,50000,经验5-10年,本科,消费生活 / 上市公司 / 2000人以上,2000,MySQL/MyBatis/后端工程师/Spring/电商平台,股票期权、带薪年假、晋升空间大、团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/84/CgpVE1_ch26AEM8AAAAxNiZmyCE990.png,北京
java,Java（驻场银行）学信网可查[西北旺],京北方,19000,23000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,cloud/金融业/IT技术服务｜咨询/Spring,五险一金 带薪年假 团队旅游,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,银行java组长[西二旗],京北方,15000,30000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,信用卡/主机下移/贷款/科技金融/金融业,发展前景好 五险一金 带薪年假,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,java后端开发工程师[望京],百融云创,30000,40000,经验5-10年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,科技金融/后端工程师/Spring,发展前景,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,高级Java开发工程师 (MJ001516)[望京],百融云创,25000,35000,经验5-10年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,架构开发经验/科技金融/后端工程师,团队氛围好 发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,java开发工程师-商机[西二旗],贝壳,25000,40000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,房地产｜建筑｜物业/Linux/Dubbo/后端工程师,带薪年假、三餐福利、五险一金、节日福利,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,交易系统平台部-订单履约方向-java开发专家[朝阳区],美团,30000,50000,经验5-10年,本科,消费生活 / 上市公司 / 2000人以上,2000,后端工程师/电商平台/批发｜零售,股票期权、带薪年假、晋升空间大、团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/84/CgpVE1_ch26AEM8AAAAxNiZmyCE990.png,北京
java,Java开发高级工程师（风控平台）[北下关],微财数科,40000,60000,经验5-10年,本科,科技金融 / 未融资 / 500-2000人,500-2000,消费生活/科技金融,六险一金、地铁旁、核心业务、团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/40/20/Ciqc1F8yLoiAVaQLAAAoRP6nXsg864.jpg,北京
java,Java高级工程师[海淀区],财未来（北京）信息技术有限公司,30000,50000,经验3-5年,本科,区块链 / C轮 / 15-50人,15-50,数据服务｜咨询,国际化平台 蓝海赛道 福利完善 弹性工作,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/52/11/Cgq2xlsD1ZGAXolEAAd9HN0e7n0422.png,北京
java,资深媒体后端开发工程师（java/go）[小关],小红书,30000,60000,经验3-5年,本科,"电商平台,内容社区 / D轮及以上 / 500-2000人",500-2000,IT技术服务｜咨询/计算机相关专业,发展前景好,https://www.lgstatic.com/thumbnail_120x120/image1/M00/35/C1/Cgo8PFWcoTKARPNOAABLnbTivc8708.png,北京
java,Java开发工程师(A108967)[呼家楼],易宝支付,20000,30000,经验5-10年,本科,科技金融 / D轮及以上 / 500-2000人,500-2000,科技金融/后端工程师,第三方支付,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/09/Cgo8PFTUWBKAQjtNAAAd8P1R3uQ694.jpg,北京
java,JAVA开发工程师(数据)(J13025)[张家湾],大家信科有限责任公司,15000,30000,经验5-10年,本科,科技金融 / 不需要融资 / 2000人以上,2000,科技金融/后端工程师,发展前景广阔，薪资福利待遇好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/1D/E2/CgqCHl7i8ByASxjOAAA93I46OVw693.png,北京
java,中级java开发工程师[大望路],蜜堂有信,12000,18000,经验不限,本科,IT技术服务｜咨询 / 未融资 / 15-50人,15-50,C++/人工智能服务/C语言/IT技术服务｜咨询/后端工程师,六险一金,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/AD/FC/CgoB5l3fOzWAU9wMAAAOKf6eunM056.png,北京
java,java软件开发工程师[奥运村],睿智思科,7000,14000,经验不限,本科,IT技术服务｜咨询 / 天使轮 / 15-50人,15-50,软件服务｜咨询/IT技术服务｜咨询,领导好，发展空间大,https://www.lgstatic.com/thumbnail_120x120/image2/M00/0B/0F/CgpzWlYXT5aACH73AAAUDPDDTZ4320.png,北京
java,Java开发资深工程师（决策引擎）[北下关],微财数科,35000,45000,经验不限,本科,科技金融 / 未融资 / 500-2000人,500-2000,消费生活/科技金融,六险一金 核心团队 发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/40/20/Ciqc1F8yLoiAVaQLAAAoRP6nXsg864.jpg,北京
web前端,web前端开发工程师[顺义区],北京英航网络科技,3000,5000,经验不限,大专,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/Vue,web vue,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/7B/E6/CgoB5lty2jCAFBiAAACu1nw8k_M021.jpg,北京
web前端,web前端开发实习生[朝阳区],友邦资讯,4000,5000,经验在校,应届,无,未知,无,发展前景佳、团队实力强、老板nice,https://www.lgstatic.com/thumbnail_120x120/10/28b334548d8e4918a26c85b58b97a09a.png,北京
web前端,web前端开发实习生[石景山区],引领通科技,4000,8000,经验在校,应届,"移动互联网,企业服务 / 不需要融资 / 15-50人",15-50,软件服务｜咨询/IT技术服务｜咨询,弹性工作 年底多薪（人员务必在北京）,https://www.lgstatic.com/thumbnail_120x120/10/091dc667cf404ed19b7bd12cc997a59e.png,北京
web前端,web前端开发实习[门头沟区],集智学园,3000,5000,经验在校,应届,"移动互联网,教育 / 天使轮 / 少于15人",15,人工智能服务/Vue/JavaScript/科研服务/Webpack,可以转正、提升空间、提供食宿、团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8E/5B/CgpFT1r-cEiAMeDIAAA9guYGuAk184.jpg,北京
web前端,百度web前端开发实习生[西北旺],百度,4000,6000,经验在校,应届,"工具类产品,人工智能服务,信息检索 / 上市公司 / 2000人以上",2000,CSS/JavaScript/工具类产品/小程序开发/电商平台,大厂 导师指导 饭补 免费打车 团建,https://www.lgstatic.com/thumbnail_120x120/image1/M00/30/EE/Cgo8PFWKMGaAUcl9AAAQ6T1UewY716.png?cc=0.8195899843099785,北京
web前端,前端开发实习生-今日头条[海淀区],字节跳动,3000,5000,经验在校,应届,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,web前端,"健身瑜伽,免费三餐,租房补贴",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
web前端,前端开发实习生-算力基础设施[海淀区],字节跳动,4000,8000,经验在校,应届,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,web前端,"健身瑜伽,团队氛围好,晋升空间大",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
web前端,web前端实习生[角门],微视听文化传媒,4000,6000,经验在校,应届,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/Web前端开发/Angular,年轻化团队,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/2A/10/CgotOVzRRHuAbxOZAABQ6mam0jE246.png,北京
web前端,前端开发工程师[北京站],联通时科,4000,6000,经验在校,应届,"科技金融,人工智能服务 / 不需要融资 / 150-500人",150-500,信息安全/Web前端开发,公司福利好，发展空间大,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/7E/CgYXBlTUXcmARYdgAABLsYUpYuY538.gif,北京
web前端,前端开发工程师[西直门],酷码数据,4000,5000,经验不限,本科,"企业服务,物联网 / 未融资 / 50-150人",50-150,软件服务｜咨询/CSS/Html5/JavaScript,兼职，时间自由,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/3D/B1/Ciqc1F8qeEqAHBH9AAAGJl7UvSs704.png,北京
web前端,前端开发工程师[立水桥],城沐科技,3000,5000,经验在校,应届,"IT技术服务｜咨询,软件服务｜咨询,电商平台 / 未融资 / 少于15人",15,JAVA/软件服务｜咨询/Vue/Web前端开发/小程序开发,具有很大成长空间,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
web前端,前端开发工程师[西北旺],位图信息,4000,5000,经验在校,应届,人工智能服务 / 天使轮 / 少于15人,15,人工智能服务/Vue/JavaScript/Web前端开发/Python,人工智能行业全栈开发,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
